"IdSensore","Comune","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
5749,"Saronno",38317,38699,38842,38963,39227,39139,39019,38966,38948,38904,38755,38582,38442
5735,"Merate",14712,14741,14683,14665,14649,14594,14535,14502,14558,14526,14702,14661,14796
5738,"Abbadia Cerreto",283,293,289,297,304,301,293,289,293,278,282,275,279
10288,"Lecco",46845,47116,47322,47682,47908,48011,47880,48109,48119,48265,47454,46831,46871
5718,"Magenta",23077,23076,23149,23168,23258,23389,23573,23747,23805,23958,24082,24107,24130
9925,"Cremona",71014,70679,70232,70092,70221,70608,71050,71344,71653,72274,71223,70841,70637
10025,"Calusco d'Adda",8260,8283,8278,8343,8326,8260,8272,8278,8312,8255,8260,8210,8231
9861,"Voghera",38769,38860,38801,39130,39038,39006,39053,39060,39006,39051,38435,38316,38637
5742,"Morbegno",11838,11839,11961,12064,12129,12058,12208,12315,12441,12452,12237,12227,12230
5710,"Cormano",19785,19980,20183,20253,20239,20312,20234,20216,20140,20313,20317,20327,20356
17297,"Bergamo",115037,116522,117014,117245,117423,117526,117938,119019,119648,120569,119993,119476,119534
12020,"Spinadesco",1626,1588,1582,1587,1563,1537,1520,1491,1497,1460,1495,1476,1449
9856,"Cornale",924,913,889,889,881,857,858,863,866,845,831,820,798
10282,"Milano",1246203,1260239,1279948,1294727,1322892,1339812,1352193,1363683,1380995,1395980,1374582,1349930,1354196
10454,"Lodi",43178,43616,43732,43990,43969,44002,44077,44214,44130,44687,44815,44716,44709
5707,"Arconate",6366,6473,6557,6618,6605,6633,6679,6700,6636,6614,6686,6758,6756
6582,"Como",82096,82601,83430,84441,85121,85567,85959,86508,86121,85979,84250,83361,83184
10463,"Bertonico",1152,1184,1176,1193,1170,1158,1140,1126,1114,1108,1069,1071,1069
9882,"Monza",119848,120791,120764,121680,122186,122393,122951,123432,124432,124459,122522,121984,121799
30165,"Brescia",189344,191072,191440,191467,191621,193118,193881,194168,194255,196134,197304,195906,196446
6818,"Gambara",4732,4754,4728,4707,4674,4654,4669,4713,4729,4675,4560,4549,4524
5750,"Varese",80691,80453,80258,80245,80484,80520,80662,80701,80686,80876,79350,78740,78409
5960,"Crema",33246,33392,33637,33780,33904,33943,34170,34226,34090,34368,34210,33970,33786
20154,"Mezzana Bigli",1136,1125,1101,1114,1118,1111,1080,1077,1050,1061,1026,1051,1046
10171,"Schivenoglia",1273,1269,1228,1201,1178,1161,1193,1191,1169,1148,1096,1090,1096
6691,"Pavia",69336,69429,69435,69628,69994,70783,71106,71288,71537,71943,71122,70380,70636
6804,"Sarezzo",13215,13402,13502,13587,13571,13502,13517,13406,13351,13307,13199,13132,13129
5732,"Colico",7414,7465,7564,7574,7643,7685,7690,7773,7825,7919,7970,7994,8074
10270,"Darfo Boario Terme",15436,15608,15604,15694,15611,15628,15601,15548,15618,15736,15544,15546,15598
17295,"Busto Arsizio",80153,80183,80474,81472,82023,82087,82730,83018,83196,83549,83045,82754,82951
9997,"Ferrera Erbognone",1138,1133,1133,1170,1176,1165,1189,1193,1124,1112,1079,1065,1049
6904,"Osio Sotto",11619,11866,12103,12157,12216,12253,12407,12349,12390,12465,12531,12487,12592
9972,"Valmadrera",11485,11598,11667,11716,11769,11741,11630,11578,11569,11447,11210,11161,11131
6832,"Lonato del Garda",15449,15597,15706,15885,15958,16047,16103,16138,16296,16498,16821,16827,16911
5717,"Pioltello",34312,35178,35725,36407,36521,36498,36361,36470,36301,36428,36147,36202,36061
6884,"Viadana",19076,19312,19447,19527,19604,19644,19542,19567,19643,19744,19822,19781,19723
5730,"Erba",16762,16716,16638,16556,16666,16567,16389,16268,16223,16127,16208,16091,16148
5719,"Meda",22890,23064,23159,23296,23249,23233,22986,22939,22998,22965,23324,23350,23388
20041,"Mantova",47157,47293,47400,47892,47913,47957,47968,48565,48784,48792,48755,48441,48653
9899,"Casirate d'Adda",3887,3913,3926,3986,4001,4051,4049,4022,4027,4017,4057,4069,4055
5739,"Bormio",4076,4053,4034,4033,4066,4111,4136,4187,4213,4191,4074,3990,3960
10081,"Ponti sul Mincio",2273,2278,2266,2289,2322,2351,2344,2369,2386,2370,2336,2275,2295
10041,"Ferno",6801,6792,6872,6935,6928,6873,6837,6796,6797,6746,6765,6685,6685
5725,"Milano",1246203,1260239,1279948,1294727,1322892,1339812,1352193,1363683,1380995,1395980,1374582,1349930,1354196
10584,"Perledo",945,969,1056,1025,1019,1011,969,944,921,912,878,864,848
6665,"Cantù",38338,38863,39074,39269,39630,39699,39630,39576,39675,39784,39469,39382,39715
9991,"Moggio",518,518,505,487,485,479,466,473,486,487,467,473,487
17288,"Monza",119848,120791,120764,121680,122186,122393,122951,123432,124432,124459,122522,121984,121799
5721,"Motta Visconti",7504,7624,7623,7658,7687,7710,7796,7823,7925,8022,8053,8120,8126
10437,"Sondrio",21882,21930,21941,21870,21904,21756,21661,21538,21587,21589,21202,21192,21066
5952,"Corte de' Cortesi con Cignone",1121,1134,1134,1129,1084,1057,1081,1084,1070,1072,1032,1061,1055
