latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
45.51845,9.324961,121.0,3600,Europe/Berlin,CET

time,temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2023-10-21,15.3,28.30,13.0,17.4,6.41
2023-10-22,14.8,7.80,6.0,10.0,9.84
2023-10-23,15.4,0.10,1.0,9.6,8.25
2023-10-24,14.1,29.30,19.0,10.2,1.66
2023-10-25,13.8,0.00,0.0,9.2,3.64
2023-10-26,14.8,3.40,10.0,10.4,0.69
2023-10-27,15.3,6.40,6.0,17.6,3.96
2023-10-28,13.6,0.10,1.0,7.6,2.98
2023-10-29,13.8,2.30,16.0,14.0,1.50
2023-10-30,14.5,43.60,19.0,26.1,0.30
2023-10-31,13.9,0.30,8.0,39.8,3.61
2023-11-01,10.9,3.20,7.0,12.6,1.48
2023-11-02,11.7,10.10,16.0,25.6,0.17
2023-11-03,10.8,0.20,9.0,24.2,3.17
2023-11-04,9.1,13.10,7.0,19.1,1.18
